x_value,axis_metric,full_BER,full_FER,uncoded_BfsER,average_channel_power,applied_signal_power_dbm,measured_signal_power_dbm,noise_power_dbm,noise_variance_per_sample,snr_db,ebn0_db,carrier_to_noise_db,symbol_rate_hz,bit_rate_hz,outage_rate
12.586921052367696,ebn0_db,0.49377173913043476,1.0,0.4775625,1.0,-104.0,-104.0,-106.62485094253908,2.175278692107049e-14,2.624850942539083,12.586921052367696,2.6248509425390694,271002.71002710046,109351.97071268962,0.0
13.586921052367693,ebn0_db,0.49555978260869565,1.0,0.4702922297297297,1.0,-103.0,-103.0,-106.62485094253908,2.175278692107049e-14,3.6248509425390765,13.586921052367693,3.6248509425390694,271002.71002710046,109351.97071268962,0.0
14.586921052367702,ebn0_db,0.4967989130434783,1.0,0.4620945945945946,1.0,-102.0,-102.0,-106.62485094253908,2.175278692107049e-14,4.624850942539093,14.586921052367702,4.624850942539069,271002.71002710046,109351.97071268962,0.0
15.5869210523677,ebn0_db,0.4960978260869565,1.0,0.45468243243243245,1.0,-101.0,-101.0,-106.62485094253908,2.175278692107049e-14,5.624850942539087,15.5869210523677,5.624850942539069,271002.71002710046,109351.97071268962,0.0
16.586921052367696,ebn0_db,0.4937282608695652,1.0,0.4414510135135135,1.0,-100.0,-100.0,-106.62485094253908,2.175278692107049e-14,6.624850942539084,16.586921052367696,6.624850942539069,271002.71002710046,109351.97071268962,0.0
17.586921052367696,ebn0_db,0.48926073926073926,0.999000999000999,0.42176742176742177,1.0,-99.0,-99.0,-106.62485094253906,2.175278692107049e-14,7.624850942539083,17.586921052367696,7.6248509425390685,271002.7100271004,109351.97071268961,0.0
18.586921052367693,ebn0_db,0.4708150017253278,0.9920634920634921,0.3949954418704419,1.0,-98.0,-98.0,-106.62485094253908,2.175278692107049e-14,8.624850942539073,18.586921052367693,8.62485094253907,271002.7100271004,109351.97071268962,0.0
19.5869210523677,ebn0_db,0.4671694764862467,0.9718172983479106,0.36124517374517373,1.0,-97.0,-97.0,-106.62485094253907,2.175278692107049e-14,9.624850942539094,19.5869210523677,9.62485094253907,271002.7100271004,109351.97071268962,0.0
20.5869210523677,ebn0_db,0.42647849998007414,0.916590284142988,0.32032817648078876,1.0,-96.0,-96.0,-106.62485094253907,2.1752786921070496e-14,10.624850942539087,20.5869210523677,10.62485094253907,271002.7100271003,109351.97071268958,0.0
21.5869210523677,ebn0_db,0.35886417256488035,0.7751937984496124,0.2588191389063482,1.0,-95.0,-95.0,-106.62485094253906,2.1752786921070493e-14,11.624850942539084,21.5869210523677,11.62485094253907,271002.71002710034,109351.97071268961,0.0
22.586921052367696,ebn0_db,0.27626320203370286,0.6027727546714888,0.18497181630093024,1.0,-94.0,-94.0,-106.62485094253907,2.1752786921070493e-14,12.624850942539082,22.586921052367696,12.62485094253907,271002.7100271004,109351.97071268962,0.0
23.586921052367696,ebn0_db,0.16585869565217393,0.3635,0.10960557432432433,1.0,-93.0,-93.0,-106.62485094253908,2.175278692107049e-14,13.624850942539071,23.586921052367696,13.62485094253907,271002.71002710046,109351.97071268962,0.0
24.586921052367703,ebn0_db,0.08997282608695652,0.191,0.05846621621621621,1.0,-92.0,-92.0,-106.62485094253908,2.175278692107049e-14,14.624850942539094,24.586921052367703,14.62485094253907,271002.71002710046,109351.97071268962,0.0
25.586921052367703,ebn0_db,0.03352445652173913,0.0705,0.022988175675675675,1.0,-91.0,-91.0,-106.62485094253908,2.175278692107049e-14,15.624850942539094,25.586921052367703,15.62485094253907,271002.71002710046,109351.97071268962,0.0
26.586921052367696,ebn0_db,0.010182065217391305,0.023,0.007544763513513513,1.0,-90.0,-90.0,-106.62485094253908,2.175278692107049e-14,16.624850942539076,26.586921052367696,16.62485094253907,271002.71002710046,109351.97071268962,0.0
27.586921052367696,ebn0_db,0.0017201086956521738,0.0035,0.0011511824324324325,1.0,-89.0,-89.0,-106.62485094253908,2.175278692107049e-14,17.624850942539076,27.586921052367696,17.62485094253907,271002.71002710046,109351.97071268962,0.0
28.586921052367696,ebn0_db,0.0004347826086956522,0.001,0.00035219594594594595,1.0,-88.0,-88.0,-106.62485094253908,2.175278692107049e-14,18.624850942539073,28.586921052367696,18.62485094253907,271002.71002710046,109351.97071268962,0.0
29.586921052367703,ebn0_db,,,,1.0,-87.0,-87.0,-106.62485094253908,2.175278692107049e-14,19.62485094253909,29.586921052367703,19.62485094253907,271002.71002710046,109351.97071268962,0.0
